"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 12 13:50:00 UTC 2024","Mon Feb 12 13:50:07 UTC 2024","6683","chromium-pc-scheduled","fullNewsAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the side on the Full News page for https://i24-7-news.com/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:49:44 UTC 2024","Mon Feb 12 13:49:51 UTC 2024","6669","chromium-mobile-ci","previewPage.ci.mobile.spec.ts","","","","Click on Picture of preview for https://top-ru.news",""
"passed","Mon Feb 12 13:48:48 UTC 2024","Mon Feb 12 13:48:56 UTC 2024","7982","chromium-mobile-ci","indexPage.ci.mobile.spec.ts","","","","Opening another page when you click on the logo for https://rusweek.news",""
"passed","Mon Feb 12 13:51:28 UTC 2024","Mon Feb 12 13:51:35 UTC 2024","6417","chromium-mobile-scheduled","fullNewsAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the middle on the Full News page for https://news-press24.com/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:49:06 UTC 2024","Mon Feb 12 13:49:15 UTC 2024","9397","chromium-mobile-ci","previewPage.ci.mobile.spec.ts","","","","Click on Button of preview for https://news-press24.com",""
"passed","Mon Feb 12 13:51:34 UTC 2024","Mon Feb 12 13:51:40 UTC 2024","5760","chromium-mobile-scheduled","fullNewsAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the footer on the Full News page for https://news-press24.com/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:51:10 UTC 2024","Mon Feb 12 13:51:19 UTC 2024","8660","chromium-pc-scheduled","newsPreviewAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the site on the side of preview page for https://top-ru.news",""
"passed","Mon Feb 12 13:49:53 UTC 2024","Mon Feb 12 13:49:58 UTC 2024","4949","chromium-pc-scheduled","fullNewsAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the footer on the Full News page for https://24l7-news.com/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:52:12 UTC 2024","Mon Feb 12 13:52:21 UTC 2024","8376","chromium-mobile-scheduled","newsPreviewAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the the site on the preview page for https://k-24.news",""
"passed","Mon Feb 12 13:47:10 UTC 2024","Mon Feb 12 13:47:20 UTC 2024","9333","chromium-pc-ci","previewPage.ci.pc.spec.ts","","","","Click on Button of preview for https://24l7-news.com",""
"passed","Mon Feb 12 13:47:41 UTC 2024","Mon Feb 12 13:47:50 UTC 2024","8894","chromium-pc-ci","previewPage.ci.pc.spec.ts","","","","Click on Title of preview for https://i24-7-news.com",""
"passed","Mon Feb 12 13:51:59 UTC 2024","Mon Feb 12 13:52:04 UTC 2024","5351","chromium-mobile-scheduled","fullNewsAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the footer on the Full News page for https://rusweek.news/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:51:20 UTC 2024","Mon Feb 12 13:51:28 UTC 2024","8128","chromium-mobile-scheduled","fullNewsAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the middle on the Full News page for https://24l7-news.com/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:49:27 UTC 2024","Mon Feb 12 13:49:37 UTC 2024","9950","chromium-mobile-ci","previewPage.ci.mobile.spec.ts","","","","Click on Picture of preview for https://k-24.news",""
"passed","Mon Feb 12 13:50:42 UTC 2024","Mon Feb 12 13:50:51 UTC 2024","9400","chromium-pc-scheduled","newsPreviewAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the site on the side of preview page for https://news-press24.com",""
"passed","Mon Feb 12 13:51:01 UTC 2024","Mon Feb 12 13:51:09 UTC 2024","8059","chromium-pc-scheduled","newsPreviewAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the site on the footer of preview page for https://rosnews.biz",""
"passed","Mon Feb 12 13:50:28 UTC 2024","Mon Feb 12 13:50:34 UTC 2024","5895","chromium-pc-scheduled","fullNewsAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the side on the Full News page for https://top-ru.news/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:51:35 UTC 2024","Mon Feb 12 13:51:40 UTC 2024","5723","chromium-mobile-scheduled","fullNewsAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the middle on the Full News page for https://i24-7-news.com/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:52:04 UTC 2024","Mon Feb 12 13:52:09 UTC 2024","4482","chromium-mobile-scheduled","newsPreviewAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the the site on the preview page for https://24l7-news.com",""
"passed","Mon Feb 12 13:49:40 UTC 2024","Mon Feb 12 13:49:47 UTC 2024","6862","chromium-mobile-ci","previewPage.ci.mobile.spec.ts","","","","Click on Picture of preview for https://rusweek.news",""
"passed","Mon Feb 12 13:51:40 UTC 2024","Mon Feb 12 13:51:45 UTC 2024","5887","chromium-mobile-scheduled","fullNewsAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the top on the Full News page for https://rus-news.net/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:49:15 UTC 2024","Mon Feb 12 13:49:22 UTC 2024","6596","chromium-mobile-ci","previewPage.ci.mobile.spec.ts","","","","Click on Picture of preview for https://rus-news.net",""
"passed","Mon Feb 12 13:50:08 UTC 2024","Mon Feb 12 13:50:14 UTC 2024","5885","chromium-pc-scheduled","fullNewsAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the middle on the Full News page for https://24newsrf.com/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:48:31 UTC 2024","Mon Feb 12 13:48:40 UTC 2024","9225","chromium-mobile-ci","indexPage.ci.mobile.spec.ts","","","","Opening another page when you click on the logo for https://rus-news.biz",""
"passed","Mon Feb 12 13:48:40 UTC 2024","Mon Feb 12 13:48:49 UTC 2024","8606","chromium-mobile-ci","indexPage.ci.mobile.spec.ts","","","","Opening another page when you click on the logo for https://rus-news.net",""
"passed","Mon Feb 12 13:48:41 UTC 2024","Mon Feb 12 13:48:49 UTC 2024","7796","chromium-mobile-ci","indexPage.ci.mobile.spec.ts","","","","Opening another page when you click on the logo for https://rosnews.biz",""
"passed","Mon Feb 12 13:47:04 UTC 2024","Mon Feb 12 13:47:11 UTC 2024","7171","chromium-pc-ci","indexPage.ci.pc.spec.ts","","","","Opening another page when you click on the logo for https://top-ru.news",""
"passed","Mon Feb 12 13:50:34 UTC 2024","Mon Feb 12 13:50:42 UTC 2024","8138","chromium-pc-scheduled","newsPreviewAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the site on the side of preview page for https://24l7-news.com",""
